name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Özil,ARS,MID,7.0,Available,1439,53,1,0.0,2.3
Sokratis,ARS,DEF,5.0,Available,1696,57,5,0.0,0.4
David Luiz,ARS,DEF,5.5,Available,2809,94,10,0.0,1.2
Aubameyang,ARS,MID,12.0,Available,3136,205,37,0.0,23.9
Cédric,ARS,DEF,5.0,Available,1553,61,3,0.0,0.4
Lacazette,ARS,FWD,8.5,Available,1867,118,16,0.0,1.9
Mustafi,ARS,DEF,5.0,Injured,1205,43,2,0.0,0.0
Leno,ARS,GKP,5.0,Available,2649,114,10,0.0,5.8
Xhaka,ARS,MID,5.5,Available,2586,73,2,0.0,0.4
Marí,ARS,DEF,4.5,Injured,113,8,1,0.0,0.0
Bellerín,ARS,DEF,5.0,Available,1156,44,4,0.0,1.9
Martínez,ARS,GKP,4.5,Available,770,33,1,0.0,6.7
Chambers,ARS,DEF,4.5,Injured,1102,42,5,0.0,0.0
Kolasinac,ARS,DEF,5.0,Available,1694,55,1,0.0,0.2
Maitland-Niles,ARS,DEF,5.0,Available,1382,41,3,0.0,0.5
Holding,ARS,DEF,4.5,Available,580,16,2,0.0,0.5
Tierney,ARS,DEF,5.5,Available,986,42,4,0.0,9.8
Pépé,ARS,MID,8.0,Available,2004,106,9,0.0,2.2
Torreira,ARS,MID,5.0,Available,1501,46,0,0.0,0.2
Willock,ARS,MID,5.0,Available,838,41,0,0.0,0.2
Nelson,ARS,MID,5.5,Available,622,30,0,0.0,0.1
Nketiah,ARS,FWD,6.0,Available,628,25,1,0.0,1.2
Smith Rowe,ARS,MID,4.5,Available,96,4,0,0.0,0.7
Saka,ARS,MID,5.5,Available,1746,71,4,0.0,5.2
Guendouzi,ARS,MID,5.0,Available,1744,48,2,0.0,0.2
Martinelli,ARS,MID,5.0,Injured,656,39,5,0.0,0.2
Saliba,ARS,DEF,4.5,Available,0,0,0,0.0,5.1
Willian,ARS,MID,8.0,Available,2595,168,26,0.0,4.1
Heaton,AVL,GKP,4.5,Injured,1794,59,3,0.0,0.3
El Mohamady,AVL,DEF,4.5,Available,1024,39,7,0.0,0.6
Lansbury,AVL,MID,4.5,Available,190,12,0,0.0,0.2
Taylor,AVL,DEF,4.5,Available,1088,22,0,0.0,0.6
Steer,AVL,GKP,4.0,Available,7,1,0,0.0,4.5
Hourihane,AVL,MID,6.0,Available,1526,83,9,0.0,0.1
Jota,AVL,MID,6.0,Available,329,17,0,0.0,0.2
Nyland,AVL,GKP,4.0,Available,537,15,0,0.0,17.2
Engels,AVL,DEF,4.5,Available,1446,42,4,0.0,0.4
Grealish,AVL,MID,7.0,Available,3233,149,19,0.0,12.9
McGinn,AVL,MID,5.5,Available,2312,84,4,0.0,1.0
Hause,AVL,DEF,4.5,Available,1544,34,0,0.0,0.2
Trézéguet,AVL,MID,5.5,Available,1936,98,7,0.0,2.6
Mings,AVL,DEF,5.0,Available,2902,90,9,0.0,1.5
Targett,AVL,DEF,4.5,Available,2291,80,10,0.0,2.1
Bree,AVL,DEF,4.5,Available,0,0,0,0.0,0.1
Nakamba,AVL,MID,4.5,Available,1826,43,0,0.0,0.8
El Ghazi,AVL,MID,6.0,Available,2046,93,0,0.0,0.2
Konsa,AVL,DEF,4.5,Available,2038,65,4,0.0,0.4
Guilbert,AVL,DEF,4.5,Available,2038,62,4,0.0,0.3
Wesley,AVL,FWD,6.0,Injured,1782,67,7,0.0,0.0
