,name,position,cost,team,total_ls,roi_ls
0,De Bruyne,MID,11.5,MCI,251,23.67924528301887
1,Salah,MID,12.0,LIV,233,18.64
2,Lundstram,MID,5.5,SHU,144,31.30434782608696
3,Ramsdale,GKP,5.0,SHU,126,28.636363636363633
4,Baldock,DEF,5.5,SHU,142,28.4
5,van Dijk,DEF,6.5,LIV,178,27.384615384615383
6,Alexander-Arnold,DEF,7.5,LIV,210,27.272727272727273
7,Doherty,DEF,6.0,TOT,167,25.692307692307693
8,Maguire,DEF,5.5,MUN,123,23.20754716981132
9,McCarthy,GKP,4.5,SOU,104,23.11111111111111
10,Doucouré,MID,5.5,EVE,113,20.925925925925924
11,Saint-Maximin,MID,5.5,NEW,92,17.692307692307693
12,Callum Wilson,FWD,6.5,WBA,116,15.675675675675675
13,Adams,FWD,6.0,SOU,78,14.716981132075473
14,Calvert-Lewin,FWD,7.0,EVE,126,20.655737704918035
