name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Özil,ARS,MID,7.0,Available,0,0,0,0.0,1.2
Sokratis,ARS,DEF,5.0,Injured,0,0,0,0.0,0.2
David Luiz,ARS,DEF,5.5,Injured,0,0,0,0.0,0.8
Aubameyang,ARS,MID,12.0,Available,90,7,0,7.0,46.5
Cédric,ARS,DEF,4.9,Available,0,0,0,0.0,0.5
Lacazette,ARS,FWD,8.5,Available,86,7,1,7.0,4.7
Mustafi,ARS,DEF,5.0,Injured,0,0,0,0.0,0.0
Leno,ARS,GKP,5.0,Available,90,7,1,7.0,8.8
Xhaka,ARS,MID,5.5,Available,77,3,0,3.0,0.9
Marí,ARS,DEF,4.5,Injured,0,0,0,0.0,0.0
Bellerín,ARS,DEF,5.0,Available,90,5,0,5.0,4.8
Martínez,ARS,GKP,4.5,Available,0,0,0,0.0,4.5
Chambers,ARS,DEF,4.5,Injured,0,0,0,0.0,0.0
Kolasinac,ARS,DEF,5.0,Available,0,0,0,0.0,0.3
Maitland-Niles,ARS,DEF,5.0,Available,90,6,0,6.0,2.3
Holding,ARS,DEF,4.5,Available,90,6,0,6.0,2.0
Tierney,ARS,DEF,5.5,Available,90,6,0,6.0,12.1
Pépé,ARS,MID,7.9,Available,15,1,0,1.0,1.8
Torreira,ARS,MID,5.0,Available,0,0,0,0.0,0.2
Willock,ARS,MID,5.0,Available,0,0,0,0.0,0.1
Nelson,ARS,MID,5.5,Available,0,0,0,0.0,0.1
Nketiah,ARS,FWD,6.0,Available,3,1,0,1.0,1.6
Smith Rowe,ARS,MID,4.5,Injured,0,0,0,0.0,0.2
Saka,ARS,MID,5.5,Available,0,0,0,0.0,6.6
Guendouzi,ARS,MID,5.0,Available,0,0,0,0.0,0.2
Martinelli,ARS,MID,5.0,Injured,0,0,0,0.0,0.0
Saliba,ARS,DEF,4.4,Available,0,0,0,0.0,2.8
Willian,ARS,MID,8.1,Available,74,14,2,14.0,13.9
Gabriel,ARS,DEF,5.0,Available,90,15,3,15.0,7.7
Ceballos,ARS,MID,5.0,Available,12,1,0,1.0,1.9
Elneny,ARS,MID,4.5,Available,90,3,0,3.0,1.0
Macey,ARS,GKP,4.0,Available,0,0,0,0.0,0.2
Heaton,AVL,GKP,4.5,Injured,0,0,0,0.0,0.1
El Mohamady,AVL,DEF,4.5,Available,0,0,0,0.0,0.5
Lansbury,AVL,MID,4.5,Available,0,0,0,0.0,0.3
Taylor,AVL,DEF,4.5,Available,0,0,0,0.0,0.4
Steer,AVL,GKP,4.0,Available,0,0,0,0.0,5.4
Hourihane,AVL,MID,6.0,Available,0,0,0,0.0,0.1
Jota,AVL,MID,6.0,Available,0,0,0,0.0,0.1
Nyland,AVL,GKP,4.0,Available,0,0,0,0.0,16.7
Engels,AVL,DEF,4.5,Available,0,0,0,0.0,0.2
Grealish,AVL,MID,7.0,Available,0,0,0,0.0,10.6
McGinn,AVL,MID,5.5,Available,0,0,0,0.0,0.6
Hause,AVL,DEF,4.5,Available,0,0,0,0.0,0.1
Trézéguet,AVL,MID,5.5,Available,0,0,0,0.0,1.4
Mings,AVL,DEF,5.0,Available,0,0,0,0.0,1.5
Targett,AVL,DEF,4.5,Available,0,0,0,0.0,1.0
Bree,AVL,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Nakamba,AVL,MID,4.5,Available,0,0,0,0.0,0.6
El Ghazi,AVL,MID,6.0,Available,0,0,0,0.0,0.2
Konsa,AVL,DEF,4.5,Available,0,0,0,0.0,0.2
Guilbert,AVL,DEF,4.5,Available,0,0,0,0.0,0.2
Wesley,AVL,FWD,6.0,Injured,0,0,0,0.0,0.0
Samatta,AVL,FWD,6.0,Available,0,0,0,0.0,0.1
Davis,AVL,FWD,4.5,Available,0,0,0,0.0,16.0
Vassilev,AVL,FWD,4.5,Available,0,0,0,0.0,2.3
Douglas Luiz,AVL,MID,5.0,Available,0,0,0,0.0,0.4
Cash,AVL,DEF,5.0,Available,0,0,0,0.0,0.4
Watkins,AVL,FWD,6.0,Available,0,0,0,0.0,1.2
Murray,BHA,FWD,5.0,NotAvail,0,0,0,0.0,0.2
Lallana,BHA,MID,6.5,Doubtful,44,1,0,1.0,1.2
Stephens,BHA,MID,4.5,Available,0,0,0,0.0,13.2
Groß,BHA,MID,6.0,Available,11,1,0,1.0,0.2
Duffy,BHA,DEF,4.5,NotAvail,0,0,0,0.0,0.1
Pröpper,BHA,MID,5.0,Doubtful,0,0,0,0.0,0.1
Mooy,BHA,MID,5.0,NotAvail,0,0,0,0.0,0.0
Burn,BHA,DEF,4.5,Available,0,0,0,0.0,0.8
Dunk,BHA,DEF,5.0,Available,90,1,0,1.0,8.3
Montoya,BHA,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Andone,BHA,FWD,5.0,Injured,0,0,0,0.0,0.3
March,BHA,MID,5.0,Available,90,2,0,2.0,0.1
Webster,BHA,DEF,4.5,Available,90,1,0,1.0,2.8
Veltman,BHA,DEF,4.5,Available,0,0,0,0.0,0.4
Maupay,BHA,FWD,6.5,Available,90,2,0,2.0,1.7
